"year","week","speed_main","flow_main","speed_ngh_432","hour7","hour8","hour9"
0,22,110.31,1651.15,105.76,0,0,0
0,23,111.87,1678.78,107.27,0,0,0
0,24,110.43,1641.82,106.07,0,0,0
0,25,113.27,1612,106.16,0,0,0
0,26,112.67,1633.68,105.71,0,0,0
0,27,111.46,1674.83,106.11,0,0,0
0,28,113.42,1527.78,106.09,0,0,0
0,29,113.46,1249.09,107.54,0,0,0
0,30,111.78,1029.82,107.15,0,0,0
0,31,111.97,905,107.38,0,0,0
0,34,112.23,1536.84,105.53,0,0,0
0,35,111.71,1494,104.9,0,0,0
0,36,107.6,1430,101.54,0,0,0
0,38,111.14,1493,102.77,0,0,0
0,39,109.49,1518,102.93,0,0,0
0,40,112.4,1534,104.66,0,0,0
0,41,110.95,1627,104.29,0,0,0
0,42,107.71,1560,99.71,0,0,0
0,43,110.85,1557,104.04,0,0,0
0,44,112.6,1599.27,104.9,0,0,0
0,45,109.38,1536,103.34,0,0,0
0,47,111.67,1585,105.24,0,0,0
0,48,104.29,1575.25,98.56,0,0,0
0,49,105.93,1465,99.01,0,0,0
0,50,110.12,1449,103.5,0,0,0
0,51,99.4,1098,93.9,0,0,0
0,52,107.83,649,104.12,0,0,0
1,1,110.83,1314,102.73,0,0,0
1,2,109.16,1388,102.06,0,0,0
1,3,109.86,1504,102.95,0,0,0
1,4,111.05,1552,104.12,0,0,0
1,5,110.97,1527,104.59,0,0,0
1,6,112,1534,104.74,0,0,0
1,7,111.22,1586,104.74,0,0,0
1,8,110.6,1436,104.01,0,0,0
1,9,109.9,1674,104.28,0,0,0
1,10,109.88,1567,104.25,0,0,0
1,11,111.14,1553,104.92,0,0,0
1,12,112.51,1628,105.52,0,0,0
1,13,110.73,1532,104.34,0,0,0
1,14,110.46,1672,102.73,0,0,0
1,15,110.19,1644,104.52,0,0,0
1,16,111.68,1579,105.01,0,0,0
1,17,111.96,1791,105.47,0,0,0
1,18,110.81,1532,105.57,0,0,0
1,19,111.63,1641,105.76,0,0,0
1,20,111.99,1669,105.2,0,0,0
1,21,112.44,1682,105.81,0,0,0
1,22,112.9,1678,105.28,0,0,0
1,23,113.18,1639,106.42,0,0,0
1,24,112.29,1898,106.52,0,0,0
1,25,112.93,1588,106.12,0,0,0
1,26,112.29,1579,106.5,0,0,0
1,27,111.68,1590,106.44,0,0,0
1,28,112.67,1583,109.47,0,0,0
1,29,112.44,1487.78,106.95,0,0,0
1,30,112.81,1153.68,107.44,0,0,0
1,32,113.34,1096.15,106.71,0,0,0
1,33,113.16,1239.31,107.28,0,0,0
1,34,111.72,1378,105.52,0,0,0
1,35,111.62,1457.29,105.65,0,0,0
1,36,110.21,1465,104.59,0,0,0
1,40,111.44,1661,103.67,0,0,0
1,41,112.01,1666,104.48,0,0,0
1,42,110.5,1621,104.14,0,0,0
1,43,110.08,1604,104.84,0,0,0
1,44,110.82,1600,105.45,0,0,0
1,45,110.92,1659,105.07,0,0,0
1,46,110.57,1649,104.58,0,0,0
1,47,106.64,1666,101.02,0,0,0
1,48,109.36,1776,102.45,0,0,0
1,49,109.94,1675,103.63,0,0,0
1,50,106.84,1641,99.28,0,0,0
1,51,109.13,1565,103.9,0,0,0
1,52,113.5,644,108.44,0,0,0
2,1,110.53,1103,104.19,0,0,0
2,2,110.34,1527,105.5,0,0,0
2,3,109.62,1574,104.01,0,0,0
2,4,110.35,1522,105.44,0,0,0
2,5,108.7,1575,102.55,0,0,0
2,6,109.41,1348,102.26,0,0,0
2,7,109.98,1488,105.16,0,0,0
2,8,111.88,1507,104.32,0,0,0
2,9,110.39,1527,105.05,0,0,0
2,10,109.95,1672,104.99,0,0,0
2,11,109.77,1593.33,104.06,0,0,0
2,12,110.91,1684.44,104.81,0,0,0
2,13,110.03,1637,104.97,0,0,0
2,14,110.25,1695.6,105.28,0,0,0
2,15,109.1,1874,101.69,0,0,0
2,16,111.09,1674,105.59,0,0,0
2,17,109.2,1749,104.07,0,0,0
2,18,109.45,1536,103.99,0,0,0
2,19,109.94,1666,104.11,0,0,0
2,20,112.3,1653,104.94,0,0,0
2,21,110.11,1697,105.25,0,0,0
2,22,111.93,1808,105.4,0,0,0
2,23,112.75,1665,106.25,0,0,0
2,24,111.83,1630,107.51,0,0,0
2,25,112.23,1581,105.88,0,0,0
2,26,113.2,1656,106.41,0,0,0
2,27,112.88,1543,107.07,0,0,0
2,28,111.78,1735.86,106.41,0,0,0
2,29,112.31,1290,105.99,0,0,0
2,30,113.77,1232.2,109.31,0,0,0
2,31,113.19,1055,106.99,0,0,0
2,32,112.3,1010,107.47,0,0,0
2,33,113.17,1153,106.26,0,0,0
2,34,111.18,1320,105.17,0,0,0
2,35,110.77,1456,104.09,0,0,0
2,36,112.21,1513,105.8,0,0,0
2,37,110.71,1578,105.31,0,0,0
2,38,111.53,1448,104.9,0,0,0
2,39,109.28,1587,104.06,0,0,0
2,40,111.26,1561.4,104.58,0,0,0
2,41,112.08,1497,104.9,0,0,0
2,42,110.49,1648.75,104.45,0,0,0
2,43,109.51,1529.45,104.77,0,0,0
2,44,109.7,1664.44,103.26,0,0,0
2,45,110.39,1623,105.2,0,0,0
2,46,111.04,1569,104.17,0,0,0
2,47,110.42,1603,104.42,0,0,0
2,48,111.66,1606,105.59,0,0,0
2,49,111.03,1543,104.85,0,0,0
2,50,108.03,1706,104.17,0,0,0
2,51,110.9,1539,105.86,0,0,0
2,52,114.62,158.4,108.21,0,0,0
3,1,116.31,218.57,109.92,0,0,0
3,2,111.37,1522.35,105.1,0,0,0
3,3,98.9,1396.84,94.97,0,0,0
3,4,108.46,1414.74,103.51,0,0,0
3,5,110.63,1448.08,103.31,0,0,0
3,6,109.13,1528.42,102.19,0,0,0
3,7,109.25,1451.38,105.18,0,0,0
3,8,109.97,1456,105.25,0,0,0
3,9,110.32,1534.14,105.31,0,0,0
3,10,110.4,1610.59,104.59,0,0,0
3,11,108.89,1486.91,104.75,0,0,0
3,12,110.27,1504.07,105.94,0,0,0
3,13,110.35,1520.69,104.84,0,0,0
3,14,109.96,1716.61,105.49,0,0,0
3,15,110.25,1581.36,105.11,0,0,0
3,16,110.11,1540,105.81,0,0,0
3,17,111.7,1580,104.67,0,0,0
3,18,114.95,286.07,108.98,0,0,0
3,19,112.62,1453,107.37,0,0,0
3,20,112.14,1523,105.11,0,0,0
3,21,111.15,1745.45,104.04,0,0,0
3,22,110.94,1581.05,105.55,0,0,0
3,23,111.49,1541.79,106.71,0,0,0
3,24,110.89,1563.05,106.15,0,0,0
3,25,112.47,1504.07,106.85,0,0,0
